url,locale,page_type,indexable_expected,canonical_expected,hreflang_cluster,source_file
/ru/sport/one-rep-max-calculator/,ru,calculator,true,/ru/sport/one-rep-max-calculator/,calculator:one-rep-max-calculator,src/pages/[locale]/[category]/[calculator].astro
/ru/building/tile-calculator/,ru,calculator,true,/ru/building/tile-calculator/,calculator:tile-calculator,src/pages/[locale]/[category]/[calculator].astro
/ru/building/wallpaper-calculator/,ru,calculator,true,/ru/building/wallpaper-calculator/,calculator:wallpaper-calculator,src/pages/[locale]/[category]/[calculator].astro
/ru/building/paint-calculator/,ru,calculator,true,/ru/building/paint-calculator/,calculator:paint-calculator,src/pages/[locale]/[category]/[calculator].astro
/ru/building/laminate-calculator/,ru,calculator,true,/ru/building/laminate-calculator/,calculator:laminate-calculator,src/pages/[locale]/[category]/[calculator].astro
/ru/building/screed-calculator/,ru,calculator,true,/ru/building/screed-calculator/,calculator:screed-calculator,src/pages/[locale]/[category]/[calculator].astro
/ru/building/brick-calculator/,ru,calculator,true,/ru/building/brick-calculator/,calculator:brick-calculator,src/pages/[locale]/[category]/[calculator].astro
/ru/date-time/age-calculator/,ru,calculator,true,/ru/date-time/age-calculator/,calculator:age-calculator,src/pages/[locale]/[category]/[calculator].astro
/ru/date-time/working-days-calculator/,ru,calculator,true,/ru/date-time/working-days-calculator/,calculator:working-days-calculator,src/pages/[locale]/[category]/[calculator].astro
/ru/date-time/date-calculator/,ru,calculator,true,/ru/date-time/date-calculator/,calculator:date-shift-calculator,src/pages/[locale]/[category]/[calculator].astro
/ru/household/krepost-po-plotnosti/,ru,calculator,true,/ru/household/krepost-po-plotnosti/,calculator:abv-alcohol,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/acceleration/,ru,calculator,true,/ru/physics/acceleration/,calculator:acceleration,src/pages/[locale]/[category]/[calculator].astro
/ru/sport/activity-calories/,ru,calculator,true,/ru/sport/activity-calories/,calculator:activity-calories,src/pages/[locale]/[category]/[calculator].astro
/ru/business/ad-budget-funnel/,ru,calculator,true,/ru/business/ad-budget-funnel/,calculator:ad-budget-funnel,src/pages/[locale]/[category]/[calculator].astro
/ru/business/ad-roi/,ru,calculator,true,/ru/business/ad-roi/,calculator:ad-roi,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/plotnost-vozduha/,ru,calculator,true,/ru/physics/plotnost-vozduha/,calculator:air-density,src/pages/[locale]/[category]/[calculator].astro
/ru/building/kratnost-vozduhoobmena/,ru,calculator,true,/ru/building/kratnost-vozduhoobmena/,calculator:air-exchange,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/davlenie-na-vysote/,ru,calculator,true,/ru/physics/davlenie-na-vysote/,calculator:air-pressure-at-altitude,src/pages/[locale]/[category]/[calculator].astro
/ru/household/edinicy-alkogolya/,ru,calculator,true,/ru/household/edinicy-alkogolya/,calculator:alcohol-units,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/annuity/,ru,calculator,true,/ru/finance/annuity/,calculator:annuity,src/pages/[locale]/[category]/[calculator].astro
/ru/business/aov/,ru,calculator,true,/ru/business/aov/,calculator:aov,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/apr-apy/,ru,calculator,true,/ru/finance/apr-apy/,calculator:apr-apy,src/pages/[locale]/[category]/[calculator].astro
/ru/household/aquarium-water-change/,ru,calculator,true,/ru/household/aquarium-water-change/,calculator:aquarium-water-change,src/pages/[locale]/[category]/[calculator].astro
/ru/math/arithmetic-progression/,ru,calculator,true,/ru/math/arithmetic-progression/,calculator:arithmetic-progression,src/pages/[locale]/[category]/[calculator].astro
/ru/business/arpu-arppu/,ru,calculator,true,/ru/business/arpu-arppu/,calculator:arpu-arppu,src/pages/[locale]/[category]/[calculator].astro
/ru/computers/aspect-ratio/,ru,calculator,true,/ru/computers/aspect-ratio/,calculator:aspect-ratio,src/pages/[locale]/[category]/[calculator].astro
/ru/business/audience-growth/,ru,calculator,true,/ru/business/audience-growth/,calculator:audience-growth,src/pages/[locale]/[category]/[calculator].astro
/ru/household/bakers-percentage/,ru,calculator,true,/ru/household/bakers-percentage/,calculator:bakers-percentage,src/pages/[locale]/[category]/[calculator].astro
/ru/building/shag-balyasin/,ru,calculator,true,/ru/building/shag-balyasin/,calculator:baluster-spacing,src/pages/[locale]/[category]/[calculator].astro
/ru/sport/bliny-na-shtangu/,ru,calculator,true,/ru/sport/bliny-na-shtangu/,calculator:barbell-plates,src/pages/[locale]/[category]/[calculator].astro
/ru/electronics/battery-charge-time/,ru,calculator,true,/ru/electronics/battery-charge-time/,calculator:battery-charge-time,src/pages/[locale]/[category]/[calculator].astro
/ru/electronics/battery-runtime/,ru,calculator,true,/ru/electronics/battery-runtime/,calculator:battery-runtime,src/pages/[locale]/[category]/[calculator].astro
/ru/electronics/battery-series-parallel/,ru,calculator,true,/ru/electronics/battery-series-parallel/,calculator:battery-series-parallel,src/pages/[locale]/[category]/[calculator].astro
/ru/building/progib-balki/,ru,calculator,true,/ru/building/progib-balki/,calculator:beam-deflection,src/pages/[locale]/[category]/[calculator].astro
/ru/building/napryazhenie-izgiba-balki/,ru,calculator,true,/ru/building/napryazhenie-izgiba-balki/,calculator:beam-stress,src/pages/[locale]/[category]/[calculator].astro
/ru/geometry/dlina-remnya/,ru,calculator,true,/ru/geometry/dlina-remnya/,calculator:belt-length,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/uravnenie-bernulli/,ru,calculator,true,/ru/physics/uravnenie-bernulli/,calculator:bernoulli,src/pages/[locale]/[category]/[calculator].astro
/ru/sport/bike-gear-ratio/,ru,calculator,true,/ru/sport/bike-gear-ratio/,calculator:bike-gear-ratio,src/pages/[locale]/[category]/[calculator].astro
/ru/sport/razmer-velokolesa/,ru,calculator,true,/ru/sport/razmer-velokolesa/,calculator:bike-wheel-size,src/pages/[locale]/[category]/[calculator].astro
/ru/math/binomial-probability/,ru,calculator,true,/ru/math/binomial-probability/,calculator:binomial-probability,src/pages/[locale]/[category]/[calculator].astro
/ru/building/board-volume/,ru,calculator,true,/ru/building/board-volume/,calculator:board-volume,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/temperatura-kipeniya/,ru,calculator,true,/ru/physics/temperatura-kipeniya/,calculator:boiling-point,src/pages/[locale]/[category]/[calculator].astro
